name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
绿皮书,https://movie.douban.com/subject/27060077/,8.9,443702,彼得·法雷里,尼克·瓦莱隆加,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·海耶斯·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,美国,英语/意大利语/俄语/德语,2018,130
惊奇队长,https://movie.douban.com/subject/26213252/,7.0,238712,安娜·波顿/瑞安·弗雷克,安娜·波顿,布丽·拉尔森/裘德·洛/塞缪尔·杰克逊/本·门德尔森/安妮特·贝宁/麦肯娜·格瑞丝/克拉克·格雷格/嘉玛·陈/李·佩斯/杰曼·翰苏/拉什纳·林奇/阿基拉·阿克巴/科林·福特/卓库·莫度/肯内特·米歇尔/罗伯特·卡辛斯基/詹姆斯·莫里森/皮特·普劳泽克/马修·马希尔/安东尼·莫利纳利/马修·弗林·贝罗斯/加斯顿·达尔莫/亚当·哈特/马克·多尔蒂/雷尼尔·鲁菲诺/约翰·盖蒂尔/斯坦·李/克里斯·埃文斯/斯嘉丽·约翰逊/马克·鲁弗洛/唐·钱德尔,动作/科幻/冒险,美国,英语,2019,124
夏目友人帐,https://movie.douban.com/subject/27166442/,8.0,56751,大森贵弘/伊藤秀树,绿川幸,神谷浩史/井上和彦/高良健吾/小林沙苗/泽城美雪/石田彰/藤村步/村濑步/伊藤美纪/伊藤荣次/堀江一真/佐藤利奈/木村良平/菅沼久义/雪野五月/川澄绫子/樋口晓里/冈村明美/黑田崇矢/长岛雄一/松山鹰志/下崎纮史/知桐京子/岛本须美,剧情/动画/奇幻,日本,日语,2018,104
白蛇：缘起,https://movie.douban.com/subject/30331149/,7.9,283981,黄家康/赵霁,大毛,张喆/杨天翔/唐小喜/刘薇/张遥函/郑小璞/张博恒/张赫/马程/程寅/陈霖生/惠龙/林强/章斌,爱情/动画/奇幻,中国大陆/美国,汉语普通话,2019,99
过春天,https://movie.douban.com/subject/27191431/,8.0,42100,白雪,白雪,黄尧/孙阳/汤加文/倪虹洁/江美仪/廖启智/焦刚,剧情,中国大陆,汉语普通话/粤语,2018,99
流浪地球,https://movie.douban.com/subject/26266893/,8.0,1099050,郭帆,龚格尔,屈楚萧/吴京/李光洁/吴孟达/赵今麦/隋凯/屈菁菁/张亦驰/杨皓宇/阿尔卡基·沙罗格拉茨基/李虹辰/杨轶/姜志刚/张欢/雷佳音/宁浩/刘慈欣/郭京飞/王智/张子贤/路阳/张宁/张小北/饶晓志/陶珞依/吴晓亮/龚格尔/郭帆,科幻/灾难,中国大陆,汉语普通话/英语/俄语/法语/日语/韩语/印尼语,2019,125
来电狂响,https://movie.douban.com/subject/30377703/,5.8,168861,于淼,李潇,佟大为/马丽/霍思燕/乔杉/田雨/代乐乐/奚梦瑶/艾伦/张晨光/杨玏/李成敏/许娣/李萍/张帆/徐冬冬/何泓姗/姜来/刘奇/杜江/钟鹿纯/丁龙儿/丁歌/韩昕妤/耿杨/李柄熹/刘润男/贝镜水/李伟/赵宇涵/马嘉璐/津玮/Aleksandr/毕大勋/刘剑/常诚/Natalya/李恬洁/贝乐乐,剧情/喜剧,中国大陆,汉语普通话,2018,103
海王,https://movie.douban.com/subject/3878007/,7.7,528008,温子仁,大卫·莱斯利·约翰逊-麦戈德里克,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉亚姗福瑞/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,动作/奇幻/冒险,美国/澳大利亚,英语/毛利语/意大利语/俄语,2018,143
小偷家族,https://movie.douban.com/subject/27622447/,8.7,327776,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤,剧情/家庭/犯罪,日本,日语,2018,117
地久天长,https://movie.douban.com/subject/26715636/,8.0,40349,王小帅,阿美,王景春/咏梅/齐溪/王源/杜江/艾丽娅/徐程/李菁菁/赵燕国彰,剧情/家庭,中国大陆,汉语普通话,2019,175
疯狂的外星人,https://movie.douban.com/subject/25986662/,6.4,384493,宁浩,孙小杭,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,喜剧/科幻,中国大陆,汉语普通话/英语,2019,116
