name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
驴得水,8.3,463375,周申/刘露,周申,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/亚瑟·麦克拉蒂/王峰,剧情/喜剧,中国大陆,汉语普通话,2016,111
傲娇与偏见,4.8,44005,李海蜀/黄彦威,李海蜀,迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/迈克·安吉洛/周海媚/樊野/李彧,喜剧/爱情,中国大陆,汉语普通话,2017,108
名侦探柯南：纯黑的恶梦,6.2,44755,静野孔文,樱井武晴,高山南/山崎和佳奈/小山力也/茶风林/绪方贤一/岩居由希子/高木涉/大谷育江/林原惠美/天海祐希/池田秀一/古谷彻,动画/悬疑,日本,日语,2016,112
环形使者,6.9,136646,莱恩·约翰逊,莱恩·约翰逊,约瑟夫·高登-莱维特/布鲁斯·威利斯/艾米莉·布朗特/保罗·达诺/皮尔斯·加格农/杰夫·丹尼尔斯/许晴,动作/科幻/惊悚,美国/中国大陆,英语/法语/汉语普通话,2012,110
蝙蝠侠：黑暗骑士归来(下),8.8,19287,杰伊·欧力瓦,鲍勃·古德曼,彼得·威勒/阿芮尔·温特/迈克尔·爱默生/迈克尔·麦基恩MichaelMcKean/马克·瓦雷MarkValley/大卫·塞尔比DavidSelby,动作/动画,美国,英语,2013,76
家和万事惊,5.9,10254,邱礼涛,张达明,吴镇宇/古天乐/袁咏仪/张达明/吴肇轩/蔡颂思/黄秋生/林雪/郑丹瑞/卢海鹏/雷琛瑜/江美仪/麦长青/阮文泰/孔令令/梁山山/杨玉梅/谷德昭/利颖怡/李灿森/马蹄露/黄文慧/泰臣/胡枫/苑琼丹/杨诗敏/乔宝宝/庄思敏/王俊棠/刘浩龙/林子聪/陆永/郑诗君/余子明/徐浩昌/安德尊/杨偲泳/罗家英/郑欣宜/麦玲玲,喜剧/家庭,中国大陆/香港,粤语,2019,92
想爱就爱2,6.2,25322,萨拉萨瓦蒂·翁索姆佩奇,阿瑟·F·古德里奇,苏查拉·玛娜英/素帕娜·吉塔勒拉/李敏恩,剧情/爱情,泰国,泰语,2012,105
90年代中期,7.2,3157,乔纳·希尔,乔纳·希尔,桑尼·苏尔季克/凯瑟琳·沃特斯顿/卢卡斯·赫奇斯/纳-凯尔·史密斯/奥伦·普雷纳特/吉奥·加利西亚/赖德·麦克劳克林/亚历克萨·德米/哈莫尼·科林/杰洛德·卡尔迈克/贾克斯·马尔科姆,剧情/喜剧,美国,英语,2018,84
表情奇幻冒险,5.2,5586,安东尼·莱昂迪斯,安东尼·莱昂迪斯,T·J·米勒/詹姆斯·柯登/安娜·法瑞丝/玛娅·鲁道夫/史蒂夫·赖特/詹妮佛·库里奇/帕特里克·斯图尔特/克里斯蒂娜·阿奎莱拉/索菲娅·维加拉/瑞秋·雷/西恩·海耶斯/杰克·T·奥斯汀/塔蒂·加布里埃/杰夫瑞·罗斯/亨特·玛奇/艾瑞克·希格尔/肖恩·吉布朗尼/连姆·艾肯/索姆·毕绍普斯/凯文·张伯伦/亚当·布朗/乔·怀特/康拉德·弗农/凯特·歌妮,喜剧/动画/冒险,美国,英语,2017,86
暗杀游戏,3.7,5676,萨里·奥德赛耶,安德烈·加夫里洛夫,瓦蒂姆·提萨拉提/维奥莱塔·吉特孟斯塔雅/韦尼亚明·斯梅霍夫/维克多·维尔比斯基/娜塔尔雅·卢达娃/瓦谢斯拉夫·拉贝戈耶夫/安德烈·查多夫/尤里·切里辛/奥丽伽·图玛金娜/KarenBadalov/AlekseyGrishin/nm1572687/ArtyomSuchkov/VsevolodKuznetsov,动作/科幻/惊悚,俄罗斯,俄语/英语,2016,100
