name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
2012,https://movie.douban.com/subject/3005875/,7.8,466000000,罗兰·艾默里奇,罗兰·艾默里奇,约翰·库萨克/切瓦特·埃加福特/阿曼达·皮特/坦迪·牛顿/丹尼·格洛弗/伍迪·哈里森/奥利弗·普莱特/连姆·詹姆斯/摩根·莉莉/毕崔斯·罗森/黄经汉/卢燕,动作/科幻/冒险/灾难,美国/加拿大,英语/法语/藏语/汉语普通话/俄语/印地语/葡萄牙语/拉丁语/意大利语,2009-11-13(中国大陆/美国),158分钟
变形金刚2 Transformers: Revenge of the Fallen,https://movie.douban.com/subject/2146991/,7.6,428000000,迈克尔·贝,伊伦·克鲁格,希亚·拉博夫/梅根·福克斯/乔什·杜哈明/雨果·维文/伊莎贝尔·卢卡斯/约翰·特托罗,动作/科幻,美国,英语/西班牙语/阿拉伯语,2009-06-24(中国大陆/美国),150分钟
建国大业,https://movie.douban.com/subject/3543690/,,420000000,韩三平,王兴东,唐国强/张国立/许晴/刘劲/陈坤/王伍福/王学圻/刘沙/王健/金鑫/王冰/邬君梅/修宗迪/刘仪伟/李连杰/胡军/孙红雷/尤勇/孙兴/陈凯歌/刘烨/吴刚/陶泽如/黄圣依/黎明/陈好/黄晓明/范伟/张涵予/姜文/曹可凡/徐帆/冯小刚/成龙/佟大为/丁志城/王宝强/葛优/陈红/陈道明/郭晓东/王学兵/冯远征/甄子丹/赵薇/英达/邓超/冯巩/郭德纲/梁家辉/苗圃/宁静/张秋芳/章子怡/沈傲君/刘德华/陈宝国,剧情/历史,中国大陆/香港,汉语普通话/英语/粤语,2009-09-16(中国大陆),138分钟
十月围城,https://movie.douban.com/subject/3626416/,7.7,293000000,陈德森,郭俊立,甄子丹/王学圻/梁家辉/胡军/王柏杰/谢霆锋/李宇春/巴特尔/黎明/范冰冰/曾志伟/任达华/周韵/张涵予/张学友/李嘉欣/吕中,剧情/动作/历史,香港/中国大陆,汉语普通话/粤语/英语,2009-12-18(中国大陆/香港),139分钟
三枪拍案惊奇,https://movie.douban.com/subject/3718447/,4.6,261000000,张艺谋,徐正超,小沈阳/闫妮/孙红雷/倪大红/程野/毛毛/赵本山,喜剧/悬疑/古装,中国大陆/香港,汉语普通话/英语,2009-12-11(中国大陆),95分钟
赤壁(下),https://movie.douban.com/subject/3291930/,6.4,260000000,吴宇森,吴宇森,梁朝伟/金城武/张丰毅/赵薇/佟大为/林志玲/张震/胡军/尤勇/中村狮童/宋佳/巴森/臧金生,剧情/动作/历史/战争,中国大陆/香港/日本/台湾/韩国,汉语普通话,2009-01-08(中国大陆),142分钟
风声,https://movie.douban.com/subject/3734112/,8.1,225000000,陈国富,陈国富,周迅/李冰冰/张涵予/王志文/黄晓明/苏有朋/英达/石兆琪/倪大红/段奕宏/朱旭/刘威葳/张一白/吴刚/邓家佳/刘芸/爱戴,剧情/惊悚/战争/犯罪,中国大陆,汉语普通话/日语,2009-09-29(中国大陆),118分钟
南京！南京！,https://movie.douban.com/subject/2294568/,7.4,172000000,陆川,陆川,刘烨/高圆圆/中泉英雄/范伟/裴中中/江一燕/木幡龙/秦岚/姚笛/BeverlyPeckous/刘斌/宫本裕子/大冢匡将,剧情/历史/战争,中国大陆/香港,汉语普通话/日语/英语/德语,2009-04-22(中国大陆),132分钟
冰川时代3 Ice Age: Dawn of the Dinosaurs,https://movie.douban.com/subject/2357162/,8.2,157000000,卡洛斯·沙尔丹哈,彼得·阿克曼,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/MaileFlanagan/JasonFricchione/西蒙·佩吉,喜剧/动画/冒险,美国,英语,2009-07-08(中国大陆),94分钟
哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,https://movie.douban.com/subject/1433330/,7.7,156000000,大卫·叶茨,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/汤姆·费尔顿/迈克尔·刚本/艾伦·瑞克曼/邦妮·怀特/朱丽·沃特斯/海伦娜·伯翰·卡特/吉姆·布劳德本特/玛吉·史密斯/伊文娜·林奇,剧情/奇幻/冒险,英国/美国,英语,2009-07-15(中国大陆),153分钟
