name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
教父,https://movie.douban.com/subject/1291841/,9.2,498755,弗朗西斯·福特·科波拉,马里奥·普佐,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德,剧情/犯罪,美国,英语/意大利语/拉丁语,1972,175分钟,(全部80034条),(全部1233条)
飞越疯人院,https://movie.douban.com/subject/1292224/,9.1,355748,米洛斯·福尔曼,劳伦斯·奥邦,杰克·尼科尔森/丹尼·德维托/克里斯托弗·洛伊德/路易丝·弗莱彻/威尔·萨姆森/特德·马克兰德/布拉德·道里夫/斯加特曼·克罗索斯/迈克尔·贝里曼/彼得·布罗科/穆瓦科·卡姆布卡/威廉·达尔/乔西普·艾利克/西德尼·拉斯克/凯·李/德怀特·马费尔德/路易莎·莫里茨/威廉·雷德菲尔德/菲利普·罗斯/米米·萨奇席恩/文森特·斯卡维利/米斯·斯马尔/德罗斯·V·史密斯,剧情,美国,英语,1975,133分钟,(全部67064条),(全部1999条)
教父2,https://movie.douban.com/subject/1299131/,9.2,270315,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔/塔莉娅·夏尔/李·斯特拉斯伯格/迈克尔·V·格佐/G·D·斯普拉德林/理查德·布赖特/加斯通·莫辛/汤姆·罗斯奎/布鲁诺·柯比/弗兰克·西维罗/弗朗西丝卡·德·萨维奥,剧情/犯罪,美国,英语/意大利语/西班牙语/拉丁语/西西里语,1974,202分钟,(全部29408条),(全部313条)
发条橙,https://movie.douban.com/subject/1292233/,8.5,226991,斯坦利·库布里克,斯坦利·库布里克,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克/约翰·克莱夫,剧情/科幻/犯罪,英国/美国,英语,1971,136分钟,(全部43739条),(全部872条)
异形,https://movie.douban.com/subject/1300868/,8.1,128862,雷德利·斯科特,丹·欧班农,西格妮·韦弗/汤姆·斯凯里特/维罗尼卡·卡维特/哈利·戴恩·斯坦通/约翰·赫特/伊安·霍姆/亚非特·科托/博拉吉·巴迪乔/海伦·霍顿,科幻/恐怖,英国/美国,英语/西班牙语,1979,117分钟,(全部19360条),(全部215条)
哪吒闹海,https://movie.douban.com/subject/1307315/,8.9,112727,严定宪/王树忱/徐景达,王树忱,梁正晖/邱岳峰/毕克/富润生/尚华/于鼎,动画/奇幻/冒险,中国大陆,汉语普通话,1979,65分钟,(全部10494条),(全部107条)
出租车司机,https://movie.douban.com/subject/1292222/,8.4,122801,马丁·斯科塞斯,保罗·施拉德,罗伯特·德尼罗/朱迪·福斯特/斯碧尔·谢波德/艾伯特·布鲁克斯/哈威·凯特尔/戴安娜·阿伯特/维克多·阿尔果/吉诺·阿迪托/彼得·博伊尔/布伦达·迪克森,剧情/犯罪,美国,英语/西班牙语,1976,113分钟,(全部24666条),(全部543条)
星球大战,https://movie.douban.com/subject/1293838/,8.4,82293,乔治·卢卡斯,乔治·卢卡斯,哈里森·福特/马克·哈米尔/凯丽·费雪/彼得·库欣/亚历克·吉尼斯/彼德·梅犹/大卫·鲍罗斯/詹姆斯·厄尔·琼斯,动作/科幻/冒险,美国,英语,1977,121分钟,(全部12205条),(全部116条)
大白鲨,https://movie.douban.com/subject/1294941/,7.7,59670,史蒂文·斯皮尔伯格,彼得·本奇利,罗伊·沙伊德尔/罗伯特·肖/理查德·德莱弗斯/洛兰·加里/莫瑞·汉密尔顿/卡尔·哥特列布/杰弗瑞·克莱默/苏珊·巴克林尼/乔纳森·菲利/泰迪·格鲁斯曼/克里斯·雷贝洛/杰伊·梅洛/李·菲耶罗/杰弗里·沃里斯/克雷格·金斯伯里,剧情/惊悚/冒险,美国,英语,1975,124分钟,(全部7554条),(全部71条)
感官世界,https://movie.douban.com/subject/1292790/,6.8,62914,大岛渚,大岛渚,藤龙也/松田英子/松井康子/芹明香/小林加奈枝,爱情/惊悚/情色,法国/日本,日语,1976,109分钟,(全部14617条),(全部314条)
