name,rate,rating_people,director,year,movietime,comment,review,main_country,main_language,main_genre,second_genre,main_actor,second_actor
驴得水,8.3,463375,周申/刘露,2016,111,137494,6242,中国大陆,汉语普通话,剧情,喜剧,任素汐,大力
傲娇与偏见,4.8,44005,李海蜀/黄彦威,2017,108,15661,331,中国大陆,汉语普通话,喜剧,爱情,迪丽热巴,张云龙
名侦探柯南：纯黑的恶梦,6.2,44755,静野孔文,2016,112,14077,283,日本,日语,动画,悬疑,高山南,山崎和佳奈
环形使者,6.9,136646,莱恩·约翰逊,2012,110,40104,802,美国,英语,动作,科幻,约瑟夫·高登-莱维特,布鲁斯·威利斯
蝙蝠侠：黑暗骑士归来(下),8.8,19287,杰伊·欧力瓦,2013,76,3293,56,美国,英语,动作,动画,彼得·威勒,阿芮尔·温特
家和万事惊,5.9,10254,邱礼涛,2019,92,3875,121,中国大陆,粤语,喜剧,家庭,吴镇宇,古天乐
想爱就爱2,6.2,25322,萨拉萨瓦蒂·翁索姆佩奇,2012,105,7200,109,泰国,泰语,剧情,爱情,苏查拉·玛娜英,素帕娜·吉塔勒拉
90年代中期,7.2,3157,乔纳·希尔,2018,84,1094,9,美国,英语,剧情,喜剧,桑尼·苏尔季克,凯瑟琳·沃特斯顿
表情奇幻冒险,5.2,5586,安东尼·莱昂迪斯,2017,86,1751,27,美国,英语,喜剧,动画,T·J·米勒,詹姆斯·柯登
暗杀游戏,3.7,5676,萨里·奥德赛耶,2016,100,2198,99,俄罗斯,俄语,动作,科幻,瓦蒂姆·提萨拉提,维奥莱塔·吉特孟斯塔雅
突然变异,6.3,10301,权五光,2015,92,2805,69,韩国,韩语,喜剧,喜剧,李光洙,李天熙
再见，克里斯托弗·罗宾,7.8,5873,西蒙·柯蒂斯,2017,107,1888,36,英国,英语,剧情,家庭,多姆纳尔·格里森,玛格特·罗比
钢之炼金术师：叹息之丘的圣星,7.3,8965,村田和也,2011,110,2535,40,日本,日语,剧情,动作,朴璐美,钉宫理惠
单亲度假村,7.3,14229,弗兰克·克拉斯,2014,117,3567,24,美国,英语,喜剧,喜剧,亚当·桑德勒,德鲁·巴里摩尔
尸忆,6.8,8559,谢庭菡,2015,89,2575,36,台湾,汉语普通话,惊悚,恐怖,吴慷仁,谢欣颖
青少年,6.8,11233,贾森·雷特曼,2011,94,3596,101,美国,英语,剧情,喜剧,查理兹·塞隆,帕特里克·威尔森
维多利亚的秘密2012时装秀,8.3,7609,哈密什·汉密尔顿/Dee Koppang O'Leary,2012,43,2236,9,美国,英语,真人秀,真人秀,莉莉·奥尔德里奇,亚历桑德拉·安布罗休
最后的约定,7.2,6254,佐藤祐市,2010,130,1715,29,日本,日语,剧情,剧情,大野智,樱井翔
是爱非友,7.6,3423,Papu Curotto,2016,83,1137,17,阿根廷,西班牙语,剧情,爱情,IgnacioRogers,EstebanMasturini
兄弟出头天,7.7,17214,费舍·史蒂芬斯,2012,95,4431,70,美国,英语,喜剧,喜剧,阿尔·帕西诺,克里斯托弗·沃肯
甜心巧克力,5.1,4542,筱原哲雄,2012,98,1355,52,中国大陆,日语,爱情,爱情,林志玲,池内博之
喜羊羊与灰太狼之羊年喜羊羊,5.3,2028,黄伟明,2015,86,503,40,中国大陆,汉语普通话,喜剧,动画,祖晴,张琳
刺杀林肯,6.6,1399,Adrian Moat,2013,88,347,7,美国,英语,剧情,传记,比利·坎贝尔,杰西·约翰逊
定罪,7.9,8408,托尼·戈德温,2010,107,2321,67,美国,英语,剧情,传记,希拉里·斯万克,山姆·洛克威尔
苹果核战记：阿尔法,6.6,4817,荒牧伸志,2014,93,1122,13,日本,英语,动作,科幻,小松由佳,诹访部顺一
缄默的迷宫,7.7,3455,朱利奥·里奇尔利,2014,124,984,32,德国,德语,剧情,历史,亚历山大·费林,安德烈·谢曼斯基
两个心脏,6.3,1152,Jung Yeon-Sik,2013,123,288,5,韩国,韩语,惊悚,惊悚,Hak-rakChoi,郑仁基
黑客帝国2：重装上阵,8.5,184465,莉莉·沃卓斯基/拉娜·沃卓斯基,2003,138,16113,121,美国,英语,动作,科幻,基努·里维斯,凯瑞-安·莫斯
垂直极限,7.7,23518,马丁·坎贝尔,2000,124,3433,81,美国,英语,动作,惊悚,克里斯·奥唐纳,罗宾·汤尼
尽情游戏,8.1,23947,让-皮埃尔·热内,2009,105,6136,57,法国,法语,喜剧,犯罪,丹尼·伯恩,安德烈·杜索里埃
天国的邮递员,7.0,19660,李亨民,2009,105,4358,69,韩国,韩语,剧情,爱情,金在中,韩孝周
丑闻笔记,7.8,21907,理查德·艾尔,2006,92,4950,199,英国,英语,剧情,惊悚,朱迪·丹奇,凯特·布兰切特
冲出宁静号,7.2,22162,乔斯·韦登,2005,119,3944,111,美国,英语,动作,科幻,内森·菲利安,吉娜·托瑞斯
男孩A,8.2,22219,约翰·克劳利,2007,106,5679,230,英国,英语,剧情,爱情,安德鲁·加菲尔德,彼得·穆兰
我盛大的同志婚礼,7.0,20698,丹尼斯·杜根,2007,115,3000,49,美国,英语,喜剧,爱情,亚当·桑德勒,凯文·詹姆斯
墨西哥往事,7.3,19675,罗伯特·罗德里格兹,2003,102,3009,63,美国,英语,动作,犯罪,安东尼奥·班德拉斯,萨尔玛·海耶克
乘客,6.6,23285,罗德里戈·加西亚,2008,93,4720,155,美国,英语,剧情,爱情,安妮·海瑟薇,帕特里克·威尔森
猫女,5.8,17654,皮托夫,2004,104,2526,27,美国,英语,动作,犯罪,哈莉·贝瑞,本杰明·布拉特
救命,6.6,18209,罗志良,2004,88,2037,54,香港,粤语,剧情,惊悚,林嘉欣,李心洁
天降奇兵,7.0,19569,斯蒂芬·诺林顿,2003,110,2555,33,美国,英语,动作,科幻,肖恩·康纳利,纳萨鲁丁·沙
飞天小女警,8.0,17802,克雷格·迈克科雷肯,2002,73,1623,8,美国,英语,剧情,喜剧,凯茜·卡瓦蒂妮,塔拉·斯特朗
前路漫漫,7.5,21740,北川悦吏子,2009,85,5653,161,日本,日语,剧情,爱情,北乃绮,冈田将生
撕裂人,6.0,20626,詹姆斯·古恩,2006,95,4378,53,加拿大,英语,喜剧,科幻,内森·菲利安,伊丽莎白·班克斯
四角关系,7.5,21266,欧·帕克,2005,90,5620,134,德国,英语,剧情,喜剧,派珀·佩拉博,琳娜·海蒂
火星任务,7.6,20771,布莱恩·德·帕尔玛,2000,114,3465,48,美国,英语,剧情,科幻,加里·西尼斯,蒂姆·罗宾斯
魔幻时刻,8.3,23273,三谷幸喜,2008,136,6557,105,日本,日语,喜剧,喜剧,佐藤浩市,妻夫木聪
爱久弥新,7.8,20895,Yongyoot Thongkongtoon,2009,117,5360,114,泰国,泰语,剧情,爱情,亚瑞克·阿莫苏帕西瑞,雅琳达·邦恩纳克
剑蝶,4.8,18873,马楚成,2008,102,3115,195,香港,粤语,动作,爱情,吴尊,蔡卓妍
蓝宇,8.1,152885,关锦鹏,2001,86,33892,988,中国大陆,汉语普通话,剧情,爱情,胡军,刘烨
无人知晓,9.1,116345,是枝裕和,2004,141,34634,807,日本,日语,剧情,剧情,柳乐优弥,北浦爱
新宿事件,7.4,92491,尔冬升,2009,119,14835,698,香港,汉语普通话,剧情,惊悚,成龙,竹中直人
末日侵袭,6.1,10044,尼尔·马歇尔,2008,105,2257,108,英国,英语,动作,科幻,罗娜·迈特拉,鲍勃·霍斯金斯
同居蜜友,6.6,8084,马伟豪,2001,102,1047,19,香港,粤语,喜剧,爱情,郑秀文,梁朝伟
跨国银行,6.4,9823,汤姆·提克威,2009,118,1576,75,美国,英语,动作,悬疑,克里夫·欧文,娜奥米·沃茨
淘气少女求爱记,6.4,7077,尹学烈,2003,96,600,5,韩国,韩语,剧情,喜剧,张娜拉,朴正哲
所罗门王凯恩,5.8,6766,Michael J. Bassett,2009,104,1153,27,法国,英语,动作,奇幻,RachelHurd-Wood,JamesPurefoy
少年往事,7.8,6231,陈建忠,2003,88,2360,52,香港,汉语普通话,剧情,剧情,翟天临,马晓倩
少女杀手阿墨,6.4,5754,北村龙平,2003,128,902,27,日本,日语,剧情,动作,上户彩,小栗旬
裂口女,5.1,5295,白石晃士,2007,90,768,23,日本,日语,恐怖,恐怖,佐藤江梨子,加藤晴彦
生死劫,7.7,4978,李少红,2005,90,1169,80,中国大陆,汉语普通话,剧情,剧情,吴军忱,周迅
先婚后友,6.2,4623,迈克尔·伊恩·布莱克,2006,90,541,21,美国,英语,喜剧,爱情,贾森·比格斯,艾拉·菲舍尔
阿娘,6.5,4331,安相勋,2006,97,598,25,韩国,韩语,爱情,悬疑,宋允儿,李栋旭
五月魔女,6.7,5008,拉齐·马凯,2002,93,1067,31,美国,英语,剧情,悬疑,安吉拉·贝蒂斯,杰瑞米·西斯托
欢乐树的朋友们：第二发球,9.2,4111,Rhode Montijo/Kenn Navarro,2003,60,275,4,美国,英语,喜剧,动画,Michael'Lippy'Lipman,PeterHerrmann
未竟一生,7.8,4541,拉斯·霍尔斯道姆,2005,108,1159,57,美国,英语,剧情,剧情,罗伯特·雷德福,詹妮弗·洛佩兹
爱情万岁,6.7,4253,崔允信,2008,98,738,44,香港,粤语,爱情,爱情,钟舒漫,陈柏宇
我爱芳邻,6.8,4508,大谷健太郎,2006,106,861,25,日本,日语,爱情,运动,长泽雅美,速水直道
凤凰劫,6.5,4185,约翰·摩尔,2004,113,720,21,美国,英语,剧情,动作,丹尼斯·奎德,泰瑞斯·吉布森
天王流氓,7.8,4520,保罗·麦奎根,2000,103,1158,20,德国,英语,剧情,惊悚,马尔科姆·麦克道威尔,大卫·休里斯
中天,5.7,4048,曹东吾,2006,105,727,33,韩国,韩语,剧情,动作,许峻豪,金泰熙
追爱自由行,6.3,4409,斯蒂芬·贝尔伯,2008,94,1101,38,美国,英语,剧情,喜剧,詹妮弗·安妮斯顿,史蒂夫·茨恩
蜡笔小新：呼风唤雨！光荣的烤肉之路,8.2,4167,Yûji Mutou,2003,88,822,6,日本,日语,动画,动画,矢岛晶子,楢桥美纪
处女心经,7.0,4229,洪尚秀,2000,126,1136,31,韩国,韩语,剧情,爱情,李恩珠,文成根
老友有钱,6.4,4150,妮可·哈罗芬瑟,2006,88,754,51,美国,英语,剧情,爱情,凯瑟琳·基纳,詹森·艾萨克
亲爱的,6.4,4140,叶念琛,2008,89,759,56,香港,汉语普通话,惊悚,惊悚,曾恺玹,安志杰
美丽时光,7.8,2011,张作骥,2001,109,388,25,台湾,客家话,剧情,惊悚,范植伟,高盟杰
崎路父子情,7.8,2132,安南德·图克尔,2007,92,519,13,英国,英语,剧情,家庭,科林·费尔斯,吉姆·布劳德本特
男人的未来是女人,7.0,2072,洪尚秀,2004,88,572,9,法国,韩语,剧情,爱情,成贤娥,金泰宇
阿孖有难,5.6,1928,彭发,2004,93,217,6,香港,粤语,喜剧,犯罪,郑伊健,蔡卓妍
疯狂粉丝王,5.0,1954,葛民辉,2007,94,221,11,香港,粤语,喜剧,爱情,葛民辉,蔡卓妍
同性之光,7.0,1985,艾维特·刘易斯,2002,90,380,16,美国,英语,剧情,喜剧,JustinHerwick,ShanePowers
巴阿里亚,7.5,2213,朱塞佩·托纳多雷,2009,150,607,25,意大利,意大利语,剧情,喜剧,马格蕾斯·梅德,雷欧·波瓦
反叛的鲁路修特别篇：暗黑的背叛,8.9,2237,谷口悟朗,2008,117,222,1,日本,日语,动画,动画,福山润,樱井孝宏
