name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
绿皮书,8.9,443702,彼得·法雷里,2018,130.0,美国,英语,剧情,喜剧,维果·莫腾森,马赫沙拉·阿里
惊奇队长,7.0,238712,安娜·波顿/瑞安·弗雷克,2019,124.0,美国,英语,动作,科幻,布丽·拉尔森,裘德·洛
夏目友人帐,8.0,56751,大森贵弘/伊藤秀树,2018,104.0,日本,日语,剧情,动画,神谷浩史,井上和彦
白蛇：缘起,7.9,283981,黄家康/赵霁,2019,99.0,中国大陆,汉语普通话,爱情,动画,张喆,杨天翔
过春天,8.0,42100,白雪,2018,99.0,中国大陆,汉语普通话,剧情,剧情,黄尧,孙阳
流浪地球,8.0,1099050,郭帆,2019,125.0,中国大陆,汉语普通话,科幻,灾难,屈楚萧,吴京
来电狂响,5.8,168861,于淼,2018,103.0,中国大陆,汉语普通话,剧情,喜剧,佟大为,马丽
海王,7.7,528008,温子仁,2018,143.0,美国,英语,动作,奇幻,杰森·莫玛,艾梅柏·希尔德
小偷家族,8.7,327776,是枝裕和,2018,117.0,日本,日语,剧情,家庭,中川雅也,安藤樱
地久天长,8.0,40349,王小帅,2019,175.0,中国大陆,汉语普通话,剧情,家庭,王景春,咏梅
疯狂的外星人,6.4,384493,宁浩,2019,116.0,中国大陆,汉语普通话,喜剧,科幻,黄渤,沈腾
比悲伤更悲伤的故事,4.8,50243,林孝谦,2018,105.0,台湾,汉语普通话,爱情,爱情,陈意涵,刘以豪
蜘蛛侠：平行宇宙,8.7,279302,鲍勃·佩尔西凯蒂/彼得·拉姆齐/罗德尼·罗斯曼,2018,116.0,美国,英语,动作,科幻,沙梅克·摩尔,杰克·约翰逊
“大”人物,6.5,97545,五百,2019,107.0,中国大陆,汉语普通话,动作,犯罪,王千源,包贝尔
毒液：致命守护者,7.2,492049,鲁本·弗雷斯彻,2018,112.0,美国,英语,动作,科幻,汤姆·哈迪,米歇尔·威廉姆斯
我不是药神,9.0,1057061,文牧野,2018,117.0,中国大陆,汉语普通话,剧情,喜剧,徐峥,王传君
一吻定情,4.8,43625,陈玉珊,2019,122.0,中国大陆,汉语普通话,喜剧,爱情,王大陆,林允
西虹市首富,6.6,606606,闫非/彭大魔,2018,118.0,中国大陆,汉语普通话,喜剧,喜剧,沈腾,宋芸桦
新喜剧之王,5.8,193568,周星驰,2019,91.0,中国大陆,汉语普通话,剧情,喜剧,王宝强,鄂靖文
无名之辈,8.1,586854,饶晓志,2018,108.0,中国大陆,汉语普通话,剧情,喜剧,陈建斌,任素汐
阿丽塔：战斗天使,7.6,291266,罗伯特·罗德里格兹,2019,122.0,美国,英语,动作,科幻,罗莎·萨拉查,克里斯托弗·沃尔兹
疯狂动物城,9.2,844193,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,2016,109.0,美国,英语,喜剧,动画,金妮弗·古德温,杰森·贝特曼
寻梦环游记,9.0,711774,李·昂克里奇/阿德里安·莫利纳,2017,105.0,美国,英语,喜剧,动画,安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔
驯龙高手3,7.5,90719,迪恩·德布洛斯,2019,104.0,美国,英语,动画,奇幻,杰伊·巴鲁切尔,亚美莉卡·费雷拉
无双,8.1,542547,庄文强,2018,130.0,中国大陆,汉语普通话,剧情,动作,周润发,郭富城
黑豹,6.4,299224,瑞恩·库格勒,2018,134.0,美国,斯瓦希里语,动作,科幻,查德维克·博斯曼,露皮塔·尼永奥
你的名字。,8.4,675653,新海诚,2016,106.0,日本,日语,剧情,爱情,神木隆之介,上白石萌音
神奇动物：格林德沃之罪,7.1,279677,大卫·叶茨,2018,134.0,美国,英语,奇幻,冒险,埃迪·雷德梅恩,凯瑟琳·沃特斯顿
